Date,Open,High,Low,Close,Volume
2000-01-03,5209.54,5384.66,5209.54,5375.11,0
2000-01-04,5533.98,5533.98,5376.43,5491.01,0
2000-01-05,5265.09,5464.35,5184.48,5357.0,0
2000-01-06,5424.21,5489.86,5391.33,5421.53,0
2000-01-07,5358.28,5463.25,5330.58,5414.48,0
2000-01-10,5617.59,5668.28,5459.97,5518.39,0
2000-01-11,5513.04,5537.69,5221.28,5296.3,0
2000-01-12,5267.85,5494.3,5267.85,5491.2,0
2000-01-13,5568.64,5652.22,5430.81,5444.82,0
2000-01-14,5460.31,5476.38,5344.59,5471.27,0
2000-01-17,5617.7,5664.5,5404.07,5404.07,0
2000-01-18,5414.26,5465.54,5347.92,5464.51,0
2000-01-19,5496.68,5528.12,5460.68,5478.24,0
2000-01-20,5508.04,5516.16,5348.56,5355.8,0
2000-01-21,5352.63,5441.83,5330.08,5423.05,0
2000-01-24,5529.38,5583.22,5439.48,5458.06,0
2000-01-25,5412.49,5430.29,5351.22,5367.79,0
2000-01-26,5412.49,5430.29,5351.22,5367.79,0
2000-01-27,5424.14,5457.3,5362.25,5369.1,0
2000-01-28,5417.53,5417.53,5331.54,5335.8,0
2000-01-31,5338.67,5345.3,5186.32,5205.29,0
2000-02-01,5217.65,5232.84,5127.79,5215.54,0
2000-02-02,5264.62,5342.98,5264.62,5304.92,0
2000-02-03,5366.62,5381.74,5323.32,5340.19,0
2000-02-04,5394.0,5402.7,5313.59,5313.59,0
2000-02-07,5431.55,5518.29,5431.55,5474.0,0
2000-02-08,5585.38,5647.64,5585.38,5610.56,0
2000-02-09,5704.01,5756.87,5635.69,5649.1,0
2000-02-10,5765.28,5789.04,5715.05,5789.04,0
2000-02-11,5985.05,6005.85,5917.04,5933.56,0
2000-02-14,6130.23,6150.69,5923.17,5924.31,0
2000-02-15,5797.31,5941.88,5774.32,5803.19,0
2000-02-16,5782.2,5864.97,5711.75,5725.5,0
2000-02-17,5810.24,5877.04,5799.79,5835.15,0
2000-02-18,5894.19,5894.19,5681.98,5721.65,0
2000-02-21,5874.25,5941.9,5834.51,5874.89,0
2000-02-22,6000.3,6009.02,5864.79,5883.33,0
2000-02-23,6002.49,6033.98,5612.55,5642.46,0
2000-02-24,5764.16,5816.16,5620.83,5810.17,0
2000-02-25,5840.25,5840.25,5623.08,5623.08,0
2000-02-28,5737.53,5740.69,5580.05,5740.69,0
2000-02-29,5827.81,5903.49,5383.61,5447.47,0
2000-03-01,5464.65,5681.11,5341.61,5642.12,0
2000-03-02,5803.33,5828.79,5528.31,5528.31,0
2000-03-03,5602.94,5602.94,5362.8,5378.27,0
2000-03-06,5662.29,5692.97,5459.61,5520.69,0
2000-03-07,5674.99,5674.99,5525.89,5589.85,0
2000-03-08,5711.88,5783.51,5439.14,5511.42,0
2000-03-09,5579.87,5607.94,5278.68,5328.79,0
2000-03-10,5384.42,5478.97,5196.72,5301.78,0
2000-03-13,5372.82,5430.87,5100.62,5129.22,0
2000-03-14,5020.55,5177.55,4943.3,5175.71,0
2000-03-15,5067.42,5339.94,5045.99,5249.76,0
2000-03-16,5249.98,5301.44,5077.33,5102.41,0
2000-03-21,5177.59,5230.36,5085.53,5133.24,0
2000-03-22,5204.07,5247.28,5159.36,5201.87,0
2000-03-23,5314.32,5314.32,5088.1,5115.02,0
2000-03-24,5083.17,5203.93,5052.74,5141.42,0
2000-03-27,5203.16,5286.81,5126.35,5146.3,0
2000-03-28,5094.17,5156.23,5044.17,5156.12,0
2000-03-29,5233.76,5233.76,5080.45,5102.46,0
2000-03-30,4984.1,5058.44,4891.4,5041.08,0
2000-03-31,4892.43,5022.24,4867.23,5001.28,0
2000-04-03,5070.5,5085.0,4977.21,5052.94,0
2000-04-04,4907.41,4907.41,4666.95,4691.46,0
2000-04-05,4616.36,4852.45,4601.58,4757.06,0
2000-04-06,4899.45,4899.45,4608.11,4866.73,0
2000-04-07,4987.1,5222.8,4987.1,5219.2,0
2000-04-10,5481.49,5532.54,5435.35,5442.86,0
2000-04-11,5428.7,5541.82,5368.2,5541.54,0
2000-04-12,5502.42,5542.81,5416.19,5426.82,0
2000-04-13,5130.18,5205.69,5106.23,5172.13,0
2000-04-17,4797.95,4899.54,4797.95,4880.71,0
2000-04-18,4973.25,4981.42,4723.19,4745.47,0
2000-04-19,4884.81,4901.5,4571.12,4665.81,0
2000-04-20,4561.07,4698.34,4431.74,4657.42,0
2000-04-24,4723.27,4723.27,4509.09,4511.05,0
2000-04-25,4336.64,4552.48,4284.17,4533.99,0
2000-04-26,4692.78,4803.27,4626.39,4626.39,0
2000-04-27,4761.9,4799.26,4637.03,4679.63,0
2000-04-28,4767.89,4767.89,4625.0,4657.55,0
2000-05-02,4736.02,4737.68,4344.51,4372.22,0
2000-05-03,4200.74,4394.58,4109.66,4335.29,0
2000-05-04,4384.53,4568.54,4335.04,4553.92,0
2000-05-05,4600.64,4731.94,4590.13,4693.88,0
2000-05-08,4744.83,4757.89,4463.4,4463.4,0
2000-05-09,4365.26,4578.49,4351.14,4578.49,0
2000-05-10,4593.38,4593.38,4449.89,4458.4,0
2000-05-11,4324.19,4352.56,4198.17,4251.36,0
2000-05-12,4243.54,4267.87,4102.77,4107.14,0
2000-05-15,4024.66,4249.45,3912.95,4212.53,0
2000-05-16,4239.44,4247.19,4154.07,4230.13,0
2000-05-17,4306.01,4367.22,4195.19,4234.23,0
2000-05-18,4205.48,4254.35,4159.9,4192.44,0
2000-05-19,4149.39,4150.77,4026.64,4068.65,0
2000-05-22,3978.54,4015.38,3920.18,3920.18,0
2000-05-23,3878.82,3943.54,3831.86,3943.54,0
2000-05-24,3872.7,3981.46,3840.11,3933.65,0
2000-05-25,3962.98,4060.76,3961.02,3999.03,0
2000-05-26,3994.4,4097.6,3947.33,4084.71,0
2000-05-29,4082.91,4222.65,4064.46,4189.85,0
2000-05-30,4207.01,4318.65,4185.36,4311.77,0
2000-05-31,4434.99,4536.1,4416.88,4433.61,0
2000-06-01,4406.52,4412.2,4321.26,4325.47,0
2000-06-02,4381.7,4486.99,4381.7,4453.47,0
2000-06-05,4609.78,4705.49,4485.29,4531.53,0
2000-06-06,4555.18,4605.46,4488.23,4591.68,0
2000-06-07,4580.89,4650.88,4556.52,4604.84,0
2000-06-08,4656.0,4746.88,4656.0,4728.81,0
2000-06-09,4772.0,4797.59,4712.21,4729.63,0
2000-06-12,4794.67,4800.13,4638.81,4639.46,0
2000-06-13,4583.34,4640.59,4555.09,4615.13,0
2000-06-14,4648.78,4693.67,4604.5,4625.04,0
2000-06-15,4609.98,4685.63,4575.03,4653.22,0
2000-06-16,4666.06,4768.59,4654.12,4764.67,0
2000-06-19,4808.25,4884.89,4788.94,4837.24,0
2000-06-20,4891.23,4919.63,4834.79,4863.9,0
2000-06-21,4888.43,4888.43,4723.57,4731.57,0
2000-06-22,4749.4,4795.1,4693.46,4794.16,0
2000-06-23,4771.07,4822.63,4687.31,4721.7,0
2000-06-26,4674.21,4697.63,4607.58,4670.09,0
2000-06-27,4682.59,4732.7,4677.57,4686.91,0
2000-06-28,4660.28,4660.28,4642.56,4642.56,0
2000-06-29,4820.58,4820.58,4785.63,4785.63,0
2000-06-30,4760.6,4792.69,4694.88,4748.77,0
2000-07-03,4846.69,4853.83,4778.74,4844.98,0
2000-07-04,4870.86,4902.71,4840.39,4887.06,0
2000-07-05,4898.15,4940.38,4898.15,4940.38,0
2000-07-06,4862.99,4908.34,4846.64,4885.6,0
2000-07-07,4920.14,4924.22,4900.31,4905.94,0
2000-07-10,4908.74,4920.38,4847.45,4867.43,0
2000-07-11,4887.76,4919.31,4863.96,4898.07,0
2000-07-12,4883.65,4967.14,4862.49,4964.28,0
2000-07-13,4994.92,5058.9,4878.45,4880.8,0
2000-07-14,4891.43,4951.95,4847.51,4856.82,0
2000-07-17,4874.41,4883.3,4747.32,4747.32,0
2000-07-18,4741.15,4777.5,4704.4,4734.8,0
2000-07-19,4672.19,4721.85,4604.54,4616.01,0
2000-07-20,4592.28,4634.46,4538.95,4575.67,0
2000-07-21,4601.08,4606.21,4460.42,4463.66,0
2000-07-24,4347.52,4353.44,4188.34,4188.34,0
2000-07-25,4097.22,4369.14,4052.61,4336.2,0
2000-07-26,4361.88,4374.38,4191.27,4191.27,0
2000-07-27,4149.84,4287.86,4113.42,4281.13,0
2000-07-28,4275.34,4348.88,4244.73,4276.7,0
2000-07-31,4232.54,4301.71,4225.57,4279.86,0
2000-08-01,4295.35,4302.86,4239.82,4253.69,0
2000-08-02,4224.01,4264.17,4193.58,4260.88,0
2000-08-03,4232.21,4279.51,4204.41,4207.63,0
2000-08-04,4241.23,4266.21,4155.45,4186.16,0
2000-08-07,4203.77,4232.8,4159.35,4201.25,0
2000-08-08,4217.68,4327.0,4200.99,4317.22,0
2000-08-09,4347.59,4374.68,4296.57,4317.04,0
2000-08-10,4312.24,4360.91,4244.19,4253.23,0
2000-08-11,4236.55,4250.6,4176.47,4192.0,0
2000-08-14,4204.33,4233.49,4142.81,4232.51,0
2000-08-16,4263.76,4337.06,4263.76,4325.67,0
2000-08-17,4346.03,4365.43,4267.91,4294.18,0
2000-08-18,4297.9,4364.39,4290.12,4347.04,0
2000-08-21,4383.81,4426.48,4377.92,4409.57,0
2000-08-22,4481.22,4483.87,4438.72,4461.23,0
2000-08-23,4447.7,4500.3,4426.62,4444.79,0
2000-08-24,4445.56,4471.86,4417.14,4459.07,0
2000-08-25,4482.2,4485.63,4414.72,4416.86,0
2000-08-28,4443.71,4452.76,4393.61,4395.81,0
2000-08-29,4382.56,4412.84,4370.5,4401.82,0
2000-08-30,4416.14,4436.57,4387.39,4411.85,0
2000-08-31,4409.84,4485.2,4404.62,4477.31,0
2000-09-04,4571.89,4620.32,4557.11,4602.43,0
2000-09-05,4623.83,4623.83,4574.89,4598.65,0
2000-09-06,4577.5,4640.1,4571.92,4606.35,0
2000-09-07,4579.68,4660.68,4578.37,4628.93,0
2000-09-08,4649.97,4677.67,4640.25,4668.27,0
2000-09-11,4715.3,4748.81,4694.4,4696.6,0
2000-09-12,4705.82,4766.36,4681.03,4763.63,0
2000-09-13,4776.52,4790.63,4690.5,4702.52,0
2000-09-14,4721.98,4741.42,4640.87,4671.92,0
2000-09-15,4666.47,4685.66,4539.35,4562.38,0
2000-09-18,4511.42,4513.09,4362.47,4366.41,0
2000-09-19,4295.63,4390.21,4171.89,4264.34,0
2000-09-20,4322.8,4339.37,4211.87,4325.55,0
2000-09-21,4304.25,4331.38,4257.04,4257.2,0
2000-09-22,4188.47,4208.66,4028.49,4032.37,0
2000-09-25,4144.81,4210.0,4105.75,4173.48,0
2000-09-26,4159.87,4160.13,4056.03,4089.58,0
2000-09-27,4025.68,4172.65,4004.73,4164.1,0
2000-09-28,4155.71,4184.61,4043.67,4067.38,0
2000-09-29,4122.28,4122.28,4056.72,4090.38,0
2000-10-03,4035.64,4139.53,4028.51,4135.55,0
2000-10-04,4135.55,4173.65,4101.63,4160.41,0
2000-10-05,4177.09,4197.39,4115.62,4116.25,0
2000-10-06,4085.02,4131.25,4042.95,4092.42,0
2000-10-09,4106.15,4135.16,4055.42,4056.07,0
2000-10-10,4079.61,4079.61,3931.21,3945.28,0
2000-10-11,3892.78,3895.81,3803.72,3836.51,0
2000-10-12,3793.61,3879.47,3777.49,3847.58,0
2000-10-13,3749.77,3793.08,3714.46,3738.93,0
2000-10-16,3908.73,3930.1,3726.58,3728.67,0
2000-10-17,3702.4,3718.74,3613.74,3664.79,0
2000-10-18,3625.32,3640.73,3545.01,3593.63,0
2000-10-19,3576.44,3702.83,3491.55,3702.83,0
2000-10-20,3799.78,3801.86,3691.89,3692.75,0
2000-10-23,3709.54,3716.6,3608.36,3619.53,0
2000-10-24,3603.66,3656.31,3584.38,3651.99,0
2000-10-25,3664.12,3748.96,3662.23,3743.61,0
2000-10-27,3770.66,3773.54,3704.54,3729.12,0
2000-10-30,3744.1,3751.28,3680.18,3689.43,0
2000-10-31,3672.48,3713.91,3646.73,3711.02,0
2000-11-01,3749.35,3807.7,3734.98,3788.53,0
2000-11-02,3799.66,3882.54,3795.45,3875.79,0
2000-11-03,3907.23,3960.14,3894.59,3935.7,0
2000-11-06,3971.98,4005.19,3919.34,3931.54,0
2000-11-07,3917.1,3959.93,3910.81,3954.83,0
2000-11-08,3958.69,4045.05,3958.69,4028.71,0
2000-11-09,3981.31,4046.01,3980.2,4022.5,0
2000-11-10,4011.06,4032.94,3930.35,3941.13,0
2000-11-13,3842.63,3863.35,3797.5,3820.08,0
2000-11-14,3816.13,3952.39,3816.13,3943.54,0
2000-11-15,3994.88,4016.09,3931.84,3946.53,0
2000-11-16,3946.83,3971.32,3884.88,3901.9,0
2000-11-17,3869.17,3917.59,3848.86,3905.84,0
2000-11-20,3928.62,3942.55,3908.28,3926.52,0
2000-11-21,3889.18,3928.58,3882.65,3924.7,0
2000-11-22,3938.46,3947.98,3861.01,3862.39,0
2000-11-23,3837.11,3871.34,3826.42,3852.4,0
2000-11-24,3860.52,3889.56,3856.58,3868.34,0
2000-11-27,3930.96,3972.48,3902.1,3969.2,0
2000-11-28,3962.21,4038.64,3962.2,4023.92,0
2000-11-29,3997.33,4046.19,3957.19,3996.18,0
2000-11-30,4003.41,4019.52,3972.85,3997.99,0
2000-12-01,3968.89,4054.86,3966.55,4031.96,0
2000-12-04,4078.56,4088.28,4034.62,4036.49,0
2000-12-05,4061.9,4082.44,4048.85,4071.98,0
2000-12-06,4155.22,4156.66,4097.55,4108.43,0
2000-12-07,4099.49,4136.74,4095.99,4124.91,0
2000-12-08,4134.1,4167.32,4134.1,4156.08,0
2000-12-11,4198.72,4233.26,4178.51,4228.29,0
2000-12-12,4254.16,4255.69,4210.15,4219.48,0
2000-12-13,4235.56,4298.63,4235.56,4284.98,0
2000-12-14,4297.44,4332.65,4256.34,4270.45,0
2000-12-15,4241.46,4264.83,4130.6,4137.16,0
2000-12-18,4121.86,4186.77,4108.68,4169.39,0
2000-12-19,4188.02,4200.34,4143.56,4152.94,0
2000-12-20,4106.34,4121.82,4057.95,4086.41,0
2000-12-21,4013.1,4064.71,3968.34,4034.23,0
2000-12-22,4057.72,4080.3,3895.37,3905.9,0
2000-12-26,3927.51,3939.08,3810.99,3826.82,0
2000-12-27,3830.37,3902.85,3803.69,3877.55,0
2000-12-28,3918.17,3940.45,3895.21,3932.78,0
2000-12-29,3933.95,3978.25,3904.32,3972.12,0
2001-01-02,3953.22,4028.57,3929.37,4018.88,0
2001-01-03,3977.58,4067.66,3977.58,4060.02,0
